Title,URL,Price,Ratings
Information not available,Information not available,Information not available,Information not available
Information not available,Information not available,Information not available,Information not available
"ASUS [SmartChoice] Vivobook 16X (2022), 16-inch (40.64 cms) WUXGA, AMD Ryzen 5 5600H, Thin and Light Laptop (8GB/512GB SSD/Integrated Graphics/Win 11/Office 2021/Quiet Blue/1.8 kg), M1603QA-MB502WS",https://www.amazon.in/ASUS-Vivobook-Integrated-Graphics-M1603QA-MB502WS/dp/B09ZV5CDWD/ref=sr_1_17?crid=VNQDLBEWRZZN&keywords=laptops&qid=1692727883&sprefix=laptop%2Caps%2C227&sr=8-17,"49,990",3.8 out of 5 stars.
"ASUS [SmartChoice] Vivobook 16X (2022), 16-inch (40.64 cms) WUXGA, AMD Ryzen 5 5600H, Thin and Light Laptop (8GB/512GB SSD/Integrated Graphics/Win 11/Office 2021/Quiet Blue/1.8 kg), M1603QA-MB502WS",https://www.amazon.in/ASUS-Vivobook-Integrated-Graphics-M1603QA-MB502WS/dp/B09ZV5CDWD/ref=sr_1_17?crid=VNQDLBEWRZZN&keywords=laptops&qid=1692727883&sprefix=laptop%2Caps%2C227&sr=8-17,"49,990",4.2 out of 5 stars
Information not available,Information not available,Information not available,Information not available
"ASUS [SmartChoice] Vivobook 16X (2022), 16-inch (40.64 cms) WUXGA, AMD Ryzen 5 5600H, Thin and Light Laptop (8GB/512GB SSD/Integrated Graphics/Win 11/Office 2021/Quiet Blue/1.8 kg), M1603QA-MB502WS",https://www.amazon.in/ASUS-Vivobook-Integrated-Graphics-M1603QA-MB502WS/dp/B09ZV5CDWD/ref=sr_1_17?crid=VNQDLBEWRZZN&keywords=laptops&qid=1692727883&sprefix=laptop%2Caps%2C227&sr=8-17,"49,990",4.2 out of 5 stars
Information not available,Information not available,"49,990",Information not available
Information not available,Information not available,Information not available,Information not available
"Acer [Smart Choice] One 14 Intel Core i5 1135G7 (8GB RAM/512GB SSD/Windows 11 Home/MS Office Home and Student) Thin & Light Laptop Z8-415 with 35.56 cm (14.0"") Full HD Display",https://www.amazon.in/Acer-Windows-Student-Z8-415-Display/dp/B0C14NRPX8/ref=sr_1_18?crid=VNQDLBEWRZZN&keywords=laptops&qid=1692727883&sprefix=laptop%2Caps%2C227&sr=8-18,"42,999",4.0 out of 5 stars
Information not available,Information not available,Information not available,Information not available
"Acer [Smart Choice] One 14 Intel Core i5 1135G7 (8GB RAM/512GB SSD/Windows 11 Home/MS Office Home and Student) Thin & Light Laptop Z8-415 with 35.56 cm (14.0"") Full HD Display",https://www.amazon.in/Acer-Windows-Student-Z8-415-Display/dp/B0C14NRPX8/ref=sr_1_18?crid=VNQDLBEWRZZN&keywords=laptops&qid=1692727883&sprefix=laptop%2Caps%2C227&sr=8-18,"42,999",4.0 out of 5 stars
Information not available,Information not available,"42,999",Information not available
Information not available,Information not available,Information not available,Information not available
"Honor MagicBook 14, AMD Ryzen 5 5500U 14-inch (35.56 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/Fingerprint Login/Metal Body/Backlit KB/1.38Kg), Gray, NobelM-WFQ9AHNE",https://www.amazon.in/Honor-MagicBook-Anti-Glare-Fingerprint-NobelM-WFQ9AHNE/dp/B0BC9R8XYZ/ref=sr_1_19?crid=VNQDLBEWRZZN&keywords=laptops&qid=1692727883&sprefix=laptop%2Caps%2C227&sr=8-19,"41,990",4.3 out of 5 stars
Information not available,Information not available,Information not available,Information not available
"Honor MagicBook 14, AMD Ryzen 5 5500U 14-inch (35.56 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/Fingerprint Login/Metal Body/Backlit KB/1.38Kg), Gray, NobelM-WFQ9AHNE",https://www.amazon.in/Honor-MagicBook-Anti-Glare-Fingerprint-NobelM-WFQ9AHNE/dp/B0BC9R8XYZ/ref=sr_1_19?crid=VNQDLBEWRZZN&keywords=laptops&qid=1692727883&sprefix=laptop%2Caps%2C227&sr=8-19,"41,990",4.3 out of 5 stars
Information not available,Information not available,"41,990",Information not available
Information not available,Information not available,Information not available,Information not available
"Lenovo IdeaPad 1 Intel Core Celeron N4020 14"" HD Thin and Light Laptop (4 GB/256GB SDD/Windows 11 Home/1Yr Warranty/Cloud Grey/1.3Kg), 82V6005CIN",https://www.amazon.in/Lenovo-IdeaPad-Celeron-Warranty-82V6005CIN/dp/B0C864DPY2/ref=sr_1_20?crid=VNQDLBEWRZZN&keywords=laptops&qid=1692727883&sprefix=laptop%2Caps%2C227&sr=8-20,"24,990",5.0 out of 5 stars
Information not available,Information not available,Information not available,Information not available
"Lenovo IdeaPad 1 Intel Core Celeron N4020 14"" HD Thin and Light Laptop (4 GB/256GB SDD/Windows 11 Home/1Yr Warranty/Cloud Grey/1.3Kg), 82V6005CIN",https://www.amazon.in/Lenovo-IdeaPad-Celeron-Warranty-82V6005CIN/dp/B0C864DPY2/ref=sr_1_20?crid=VNQDLBEWRZZN&keywords=laptops&qid=1692727883&sprefix=laptop%2Caps%2C227&sr=8-20,"24,990",5.0 out of 5 stars
Information not available,Information not available,"24,990",Information not available
Information not available,Information not available,Information not available,Information not available
"HP Laptop 15s, AMD Ryzen 7 5700U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, AMD Radeon Graphics, Backlit KB, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.69 kg), ey2001AU",https://www.amazon.in/HP-15-6-inch-Graphics-Speakers-ey2001AU/dp/B0C9DDN2JB/ref=sr_1_21?crid=VNQDLBEWRZZN&keywords=laptops&qid=1692727883&sprefix=laptop%2Caps%2C227&sr=8-21,"56,999",4.1 out of 5 stars
Information not available,Information not available,Information not available,Information not available
"HP Laptop 15s, AMD Ryzen 7 5700U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, AMD Radeon Graphics, Backlit KB, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.69 kg), ey2001AU",https://www.amazon.in/HP-15-6-inch-Graphics-Speakers-ey2001AU/dp/B0C9DDN2JB/ref=sr_1_21?crid=VNQDLBEWRZZN&keywords=laptops&qid=1692727883&sprefix=laptop%2Caps%2C227&sr=8-21,"56,999",4.1 out of 5 stars
Information not available,Information not available,"56,999",Information not available
Information not available,Information not available,Information not available,Information not available
"HP 255 G8 Laptop with AMD Athlon Silver 3050U APU/ 4GB Ram/ 256GB SSD/Windows 11/AMD Radeon Vega 8 Mobile Graphics/39.6 cm HD (1366 x 768), SVA, Anti-Glare WLED/Black/1 Year Onsite Warranty",https://www.amazon.in/HP-255-Graphics-Anti-Glare-Warranty/dp/B0CCRSRM4Q/ref=sr_1_22?crid=VNQDLBEWRZZN&keywords=laptops&qid=1692727883&sprefix=laptop%2Caps%2C227&sr=8-22,"23,990",3.7 out of 5 stars
Information not available,Information not available,Information not available,Information not available
"HP 255 G8 Laptop with AMD Athlon Silver 3050U APU/ 4GB Ram/ 256GB SSD/Windows 11/AMD Radeon Vega 8 Mobile Graphics/39.6 cm HD (1366 x 768), SVA, Anti-Glare WLED/Black/1 Year Onsite Warranty",https://www.amazon.in/HP-255-Graphics-Anti-Glare-Warranty/dp/B0CCRSRM4Q/ref=sr_1_22?crid=VNQDLBEWRZZN&keywords=laptops&qid=1692727883&sprefix=laptop%2Caps%2C227&sr=8-22,"23,990",3.7 out of 5 stars
Information not available,Information not available,"23,990",Information not available
Information not available,Information not available,Information not available,Information not available
"HP 15 Laptop, 11th Gen i3-1115G4 15.6 inch(39.6cm) FHD Laptop, 8GB DDR4, 512GB SSD, Intel UHD Graphics, Dual Speakers (Win 11, MSO 21, 1.69Kgs) 15s-fr2515TU",https://www.amazon.in/HP-i3-1115G4-Graphics-Speakers-15s-fr2515TU/dp/B0CCVXRJCT/ref=sr_1_23?crid=VNQDLBEWRZZN&keywords=laptops&qid=1692727883&sprefix=laptop%2Caps%2C227&sr=8-23,"38,490",4.1 out of 5 stars
Information not available,Information not available,Information not available,Information not available
"HP 15 Laptop, 11th Gen i3-1115G4 15.6 inch(39.6cm) FHD Laptop, 8GB DDR4, 512GB SSD, Intel UHD Graphics, Dual Speakers (Win 11, MSO 21, 1.69Kgs) 15s-fr2515TU",https://www.amazon.in/HP-i3-1115G4-Graphics-Speakers-15s-fr2515TU/dp/B0CCVXRJCT/ref=sr_1_23?crid=VNQDLBEWRZZN&keywords=laptops&qid=1692727883&sprefix=laptop%2Caps%2C227&sr=8-23,"38,490",4.1 out of 5 stars
Information not available,Information not available,"38,490",Information not available
Information not available,Information not available,Information not available,Information not available
"MSI GF63 Thin, Intel Core i5-11260H, 40CM FHD 144Hz Gaming Laptop (8GB/512GB NVMe SSD/Windows 11 Home/Nvidia GeForce GTX 1650, GDDR6 4GB/Black/1.8Kg), 11SC-1477IN",https://www.amazon.in/MSI-i5-11260H-Windows-GeForce-11SC-1477IN/dp/B0C6F9GMW1/ref=sr_1_24?crid=VNQDLBEWRZZN&keywords=laptops&qid=1692727883&sprefix=laptop%2Caps%2C227&sr=8-24,"53,990",4.2 out of 5 stars
Information not available,Information not available,Information not available,Information not available
"MSI GF63 Thin, Intel Core i5-11260H, 40CM FHD 144Hz Gaming Laptop (8GB/512GB NVMe SSD/Windows 11 Home/Nvidia GeForce GTX 1650, GDDR6 4GB/Black/1.8Kg), 11SC-1477IN",https://www.amazon.in/MSI-i5-11260H-Windows-GeForce-11SC-1477IN/dp/B0C6F9GMW1/ref=sr_1_24?crid=VNQDLBEWRZZN&keywords=laptops&qid=1692727883&sprefix=laptop%2Caps%2C227&sr=8-24,"53,990",4.2 out of 5 stars
Information not available,Information not available,"53,990",Information not available
